CB01950	U+36BC
CB01951	U-000218EA
CB01953	U+4FF9
CB01954	U+5097
CB01956	U-00022A41
CB01957	U+67A1
CB01958	U+6A43
CB01963	U+649B
CB01964	U+628D
CB01966	U+6352
CB01970	U+77D6
CB01978	U+7F47
CB01982	U+8772
CB01985	U-00021A46
CB01989	U+6093
CB01991	U-00023D88
CB01992	U+3D6D
CB01994	U+9284
CB01995	U+9366
CB02000	U-0002340D
CB02008	U+8DD4
CB02021	U+97B4
CB02024	U+83DA
CB02026	U+3641
CB02027	U+5817
CB02029	U+4F39
CB02030	U+344F
CB02031	U+502E
CB02032	U+347F
CB02033	U+980B
CB02034	U+6244
CB02035	U+67B1
CB02036	U+685D
CB02037	U+6A1A
CB02038	U+3BE2
CB02041	U-00022B40
CB02042	U+64C0
CB02043	U-00022D95
CB02047	U+77F4
CB02048	U+7987
CB02050	U+6531
CB02052	U+7C87
CB02054	U-000263A4
CB02055	U+87FD
CB02057	U+983A
CB02060	U+9833
CB02065	U+9629
CB02066	U+976B
CB02074	U+9939
CB02075	U+9ABD
CB02079	U+5E3D
CB02083	U+93BB
CB02092	U+84B5
CB02094	U+5215
CB02097	U+57AA
CB02098	U+5826
CB02099	U-000220BD
CB02101	U-0002032E
CB02104	U+8142
CB02108	U+6BA8
CB02109	U+7087
CB02110	U+73C1
CB02111	U+39E7
CB02112	U+3A03
CB02113	U-00022B92
CB02114	U+6438
CB02115	U+644F
CB02116	U+3A72
CB02117	U+662C
CB02122	U+79EB
CB02130	U+7CDA
CB02134	U+7E7F
CB02135	U+34E3
CB02140	U+7356
CB02147	U+61DA
CB02148	U+3904
CB02149	U+6036
CB02150	U+3931
CB02151	U-00022729
CB02159	U+95B3
CB02162	U+3CA8
CB02166	U-00023BA0
CB02168	U+7F78
CB02169	U+7535
CB02173	U+7243
CB02175	U+887A
CB02177	U-000208A6
CB02183	U+5869
CB02196	U+5796
CB02197	U+362D
CB02198	U+6663
CB02199	U-000232F9
CB02201	U+93EB
CB02202	U+8448
CB02204	U+5BBC
CB02208	U+35BB
CB02214	U-00022BA2
CB02215	U-000228CF
CB02216	U+941F
CB02220	U-00023E49
CB02226	U+8795
CB02227	U+553D
CB02233	U+3A0A
CB02240	U+3C06
CB02248	U+5BD7
CB02258	U+56D2
CB02259	U-000218FD
CB02260	U+3441
CB02261	U+348B
CB02262	U+5695
CB02266	U+67BF
CB02267	U+3BEA
CB02268	U+3BAF
CB02269	U-000208CF
CB02280	U+7DB6
CB02282	U-000207C3
CB02286	U+8A6A
CB02287	U+8D1C
CB02288	U+9F53
CB02289	U-000226CC
CB02290	U-0002274B
CB02291	U+395C
CB02292	U+6107
CB02294	U+6C45
CB02298	U+9408
CB02305	U+97B1
CB02307	U+97D2
CB02311	U+9B3D
CB02312	U+9BF9
CB02316	U+8E32
CB02319	U+5547
CB02320	U-00022F8A
CB02322	U+9EBF
CB02324	U+5332
CB02327	U+53E1
CB02328	U-00023628
CB02331	U+77B9
CB02332	U+35E9
CB02334	U+809E
CB02344	U+66D5
CB02354	U+7702
CB02355	U+87D6
CB02357	U+3D3E
CB02359	U+8E77
CB02360	U-00023BDC
CB02362	U+5F5C
CB02368	U+97D1
CB02373	U+97F2
CB02377	U+8483
CB02379	U+53F9
CB02380	U+3569
CB02381	U+5479
CB02385	U+552B
CB02390	U+58A2
CB02392	U+36F9
CB02393	U+5AF0
CB02396	U-00021D85
CB02397	U+3811
CB02398	U-00022080
CB02399	U+3468
CB02400	U+5008
CB02401	U+50EB
CB02406	U-000236A6
CB02407	U+6B07
CB02408	U+5E0B
CB02410	U+7134
CB02411	U-0002435C
CB02412	U-0002446B
CB02415	U+6305
CB02416	U+630A
CB02418	U-00022C66
CB02423	U+79D0
CB02428	U+981F
CB02433	U-0002635E
CB02440	U-0002080D
CB02441	U-000206D1
CB02443	U-00021A27
CB02453	U+8EC1
CB02455	U+39B8
CB02458	U-0002278E
CB02459	U+5FC7
CB02461	U-00024529
CB02464	U+9587
CB02465	U+9736
CB02466	U+984B
CB02467	U-00023BBF
CB02471	U+65C8
CB02480	U-00021A25
CB02481	U+6187
CB02485	U+4CB7
CB02486	U+9E8F
CB02489	U-00023BFE
CB02500	U+5C1E
CB02505	U+8D0B
CB02506	U-00020976
CB02513	U+50BC
CB02526	U+4F07
CB02528	U-0002329F
CB02529	U+66CE
CB02530	U-00023313
CB02533	U+69C8
CB02534	U-000239E9
CB02536	U+7225
CB02537	U+6335
CB02538	U-00022D32
CB02542	U+7774
CB02545	U+7851
CB02546	U+7AF2
CB02555	U+3925
CB02556	U+3939
CB02557	U+617D
CB02558	U+6DB6
CB02559	U+6F34
CB02573	U+397F
CB02581	U-0002210B
CB02584	U+6B52
CB02593	U-000232B5
CB02597	U-00020FD8
CB02599	U-0002190F
CB02600	U-00021C64
CB02602	U+5D10
CB02604	U+66EA
CB02605	U+34BB
CB02607	U-00023385
CB02608	U-00023624
CB02610	U+3B7C
CB02611	U+3DD4
CB02612	U+71E3
CB02613	U+7447
CB02614	U+6386
CB02615	U+3A19
CB02616	U+7721
CB02619	U+79E5
CB02621	U+7A34
CB02626	U+5EFC
CB02630	U+8A1C
CB02633	U+9159
CB02637	U+52D1
CB02638	U+5FFC
CB02639	U-00022680
CB02640	U-0002283D
CB02641	U+92E5
CB02649	U+76D6
CB02655	U+5DDB
CB02668	U+7585
CB02670	U+357C
CB02678	U+7645
CB02683	U-00020F6E
CB02684	U+568A
CB02686	U+3698
CB02688	U-0002354A
CB02690	U+71CC
CB02691	U+73D5
CB02692	U-00023B40
CB02693	U+62A6
CB02695	U+64D1
CB02696	U+7717
CB02700	U+5B8D
CB02704	U+7BFC
CB02712	U-000205E6
CB02723	U+9856
CB02728	U+3005
CB02730	U+8492
CB02732	U+671A
CB02739	U+35ED
CB02752	U-00023881
CB02760	U+80C6
CB02762	U+6A7D
CB02763	U+6ACE
CB02768	U+39E3
CB02769	U-00022C17
CB02770	U+7560
CB02772	U+7700
CB02777	U+7CCF
CB02782	U+8FA0
CB02785	U+656D
CB02788	U+8F28
CB02791	U+9125
CB02794	U+9789
CB02802	U+8B29
CB02815	U-00023AE2
CB02817	U+9B07
CB02818	U+9B21
CB02824	U+9D6E
CB02827	U+35CD
CB02830	U+5765
CB02831	U+5789
CB02832	U+59B8
CB02833	U-000216DC
