JX2-2C6F	 U+61DD
JX2-2C70	 U+61DF
JX2-2C71	 U+61F5
JX2-2C72	 U-0002298F
JX2-2C73	 U+6215
JX2-2C74	 U+6223
JX2-2C75	 U+6229
JX2-2C76	 U+6246
JX2-2C77	 U+624C
JX2-2C78	 U+6251
JX2-2C79	 U+6252
JX2-2C7A	 U+6261
JX2-2C7B	 U+6264
JX2-2C7C	 U+627B
JX2-2C7D	 U+626D
JX2-2C7E	 U+6273
JX2-2D21	 U+6299
JX2-2D22	 U+62A6
JX2-2D23	 U+62D5
JX2-2D24	 U-00022AB8
JX2-2D25	 U+62FD
JX2-2D26	 U+6303
JX2-2D27	 U+630D
JX2-2D28	 U+6310
JX2-2D29	 U-00022B4F
JX2-2D2A	 U-00022B50
JX2-2D2B	 U+6332
JX2-2D2C	 U+6335
JX2-2D2D	 U+633B
JX2-2D2E	 U+633C
JX2-2D2F	 U+6341
JX2-2D30	 U+6344
JX2-2D31	 U+634E
JX2-2D32	 U-00022B46
JX2-2D33	 U+6359
JX2-2D34	 U-00022C1D
JX2-2D35	 U-00022BA6
JX2-2D36	 U+636C
JX2-2D37	 U+6384
JX2-2D38	 U+6399
JX2-2D39	 U-00022C24
JX2-2D3A	 U+6394
JX2-2D3B	 U+63BD
JX2-2D3C	 U+63F7
JX2-2D3D	 U+63D4
JX2-2D3E	 U+63D5
JX2-2D3F	 U+63DC
JX2-2D40	 U+63E0
JX2-2D41	 U+63EB
JX2-2D42	 U+63EC
JX2-2D43	 U+63F2
JX2-2D44	 U+6409
JX2-2D45	 U+641E
JX2-2D46	 U+6425
JX2-2D47	 U+6429
JX2-2D48	 U+642F
JX2-2D49	 U+645A
JX2-2D4A	 U+645B
JX2-2D4B	 U+645D
JX2-2D4C	 U+6473
JX2-2D4D	 U+647D
JX2-2D4E	 U+6487
JX2-2D4F	 U+6491
JX2-2D50	 U+649D
JX2-2D51	 U+649F
JX2-2D52	 U+64CB
JX2-2D53	 U+64CC
JX2-2D54	 U+64D5
JX2-2D55	 U+64D7
JX2-2D56	 U-00022DE1
JX2-2D57	 U+64E4
JX2-2D58	 U+64E5
JX2-2D59	 U+64FF
JX2-2D5A	 U+6504
JX2-2D5B	 U+3A6E
JX2-2D5C	 U+650F
JX2-2D5D	 U+6514
JX2-2D5E	 U+6516
JX2-2D5F	 U+3A73
JX2-2D60	 U+651E
JX2-2D61	 U+6532
JX2-2D62	 U+6544
