K0-3061	 U+ACB0
K0-3062	 U+ACB8
K0-3063	 U+ACB9
K0-3064	 U+ACBB
K0-3065	 U+ACBC
K0-3066	 U+ACBD
K0-3067	 U+ACC1
K0-3068	 U+ACC4
K0-3069	 U+ACC8
K0-306A	 U+ACCC
K0-306B	 U+ACD5
K0-306C	 U+ACD7
K0-306D	 U+ACE0
K0-306E	 U+ACE1
K0-306F	 U+ACE4
K0-3070	 U+ACE7
K0-3071	 U+ACE8
K0-3072	 U+ACEA
K0-3073	 U+ACEC
K0-3074	 U+ACEF
K0-3075	 U+ACF0
K0-3076	 U+ACF1
K0-3077	 U+ACF3
K0-3078	 U+ACF5
K0-3079	 U+ACF6
K0-307A	 U+ACFC
K0-307B	 U+ACFD
K0-307C	 U+AD00
K0-307D	 U+AD04
K0-307E	 U+AD06
K0-3121	 U+AD0C
K0-3122	 U+AD0D
K0-3123	 U+AD0F
K0-3124	 U+AD11
K0-3125	 U+AD18
K0-3126	 U+AD1C
K0-3127	 U+AD20
K0-3128	 U+AD29
K0-3129	 U+AD2C
K0-312A	 U+AD2D
K0-312B	 U+AD34
