GTps-k1-9B68	GT-K09435
GTps-k2-9193	GT-K09436
GTps-k2-8B40	GT-K09437
GTps-k2-91AA	GT-K09438
GTps-02-9AB5	GT-K09439
GTps-k1-9EEE	GT-K09440
GTps-k1-92E8	GT-K09441
GTps-k1-E958	GT-K09442
GTps-k1-96B2	GT-K09443
GTps-k1-8CF5	GT-K09444
GTps-k2-91FA	GT-K09445
GTps-k1-9EA8	GT-K09446
GTps-k1-9447	GT-K09447
GTps-k1-977C	GT-K09448
GTps-06-E66C	GT-K09449
GTps-k1-E9F7	GT-K09450
GTps-k1-9FDD	GT-K09451
GTps-k1-9DA6	GT-K09452
GTps-k1-E959	GT-K09453
GTps-k1-91C4	GT-K09454
GTps-k1-9655	GT-K09455
GTps-k1-914B	GT-K09456
GTps-k1-97C7	GT-K09457
GTps-k2-8BCB	GT-K09458
GTps-04-8A9B	GT-K09459
GTps-03-E8F1	GT-K09460
GTps-k1-9BD3	GT-K09461
GTps-k1-91C1	GT-K09462
GTps-k1-E4A0	GT-K09463
GTps-k1-E4F0	GT-K09464
GTps-05-91FA	GT-K09465
GTps-k1-E94F	GT-K09466
GTps-k1-9C9E	GT-K09467
GTps-04-92F9	GT-K09468
GTps-k2-8CDD	GT-K09469
GTps-03-8D82	GT-K09470
GTps-k2-8EE8	GT-K09471
GTps-k1-E485	GT-K09472
GTps-k2-90F0	GT-K09473
GTps-k1-E390	GT-K09474
GTps-k1-E241	GT-K09475
GTps-k1-9D71	GT-K09476
GTps-k2-8DCE	GT-K09477
GTps-k1-9CCF	GT-K09478
GTps-k2-8ACE	GT-K09479
GTps-03-8D9D	GT-K09480
GTps-k2-9151	GT-K09481
GTps-k2-9552	GT-K09482
GTps-k1-E240	GT-K09483
GTps-k1-E95E	GT-K09484
GTps-k1-9BDD	GT-K09485
GTps-k1-9ABF	GT-K09486
GTps-k1-9CBB	GT-K09487
GTps-k1-E46F	GT-K09488
GTps-k1-E8E1	GT-K09489
GTps-04-9182	GT-K09490
GTps-k1-9370	GT-K09491
GTps-k2-925E	GT-K09492
GTps-k2-8AED	GT-K09493
GTps-k1-9A61	GT-K09494
GTps-k1-E66F	GT-K09495
GTps-06-8B72	GT-K09496
GTps-k2-8A86	GT-K09497
GTps-k1-E449	GT-K09498
GTps-06-8C59	GT-K09499
GTps-k1-9FFB	GT-K09500
GTps-k1-9373} \hspace{0.2cm} \small{\textbf{K09501
GTps-06-9170	GT-K09502
GTps-06-9266	GT-K09503
GTps-k1-E4DF	GT-K09504
GTps-k1-9BCF	GT-K09505
GTps-06-916F	GT-K09506
GTps-07-98EC	GT-K09507
GTps-07-98DE	GT-K09508
GTps-04-9EDC	GT-K09509
GTps-k1-E962	GT-K09510
GTps-k2-8FD7	GT-K09511
GTps-09-9BBB	GT-K09512
GTps-k2-8CFC	GT-K09513
GTps-k2-92C4	GT-K09514
GTps-k1-9781	GT-K09515
GTps-k1-E672	GT-K09516
GTps-05-89D0	GT-K09517
GTps-02-E6F8	GT-K09518
GTps-k2-91AD	GT-K09519
GTps-k2-919C	GT-K09520
GTps-k2-89F8	GT-K09521
GTps-k2-8EDD	GT-K09522
GTps-k1-9778	GT-K09523
GTps-k2-9454	GT-K09524
GTps-k1-E089	GT-K09525
GTps-k1-9DA5	GT-K09526
GTps-k2-8F93	GT-K09527
GTps-03-99EA	GT-K09528
GTps-k1-94B4	GT-K09529
GTps-k1-E0E1	GT-K09530
GTps-07-97D0	GT-K09531
GTps-k1-9856	GT-K09532
GTps-k1-9FDB	GT-K09533
GTps-k2-939C	GT-K09534
GTps-k2-9564	GT-K09535
GTps-03-E6D7	GT-K09536
GTps-k2-9546	GT-K09537
GTps-k1-E38A	GT-K09538
GTps-05-966B	GT-K09539
GTps-09-9344	GT-K09540
GTps-k2-8A90	GT-K09541
GTps-07-9290	GT-K09542
GTps-k1-9774	GT-K09543
GTps-06-9269	GT-K09544
GTps-k1-92CB	GT-K09545
GTps-09-8BF4	GT-K09546
GTps-k2-9150	GT-K09547
GTps-k2-8C99	GT-K09548
GTps-k2-90F4	GT-K09549
GTps-07-9AD5	GT-K09550
GTps-k1-E7D9	GT-K09551
GTps-k2-8989	GT-K09552
GTps-02-E487	GT-K09553
GTps-k2-8D47	GT-K09554
GTps-k1-E862	GT-K09555
GTps-03-9DB0	GT-K09556
GTps-k1-E49A	GT-K09557
GTps-10-91EC	GT-K09558
GTps-k1-E0BF	GT-K09559
GTps-k2-8A6A	GT-K09560
GTps-k1-E9F5	GT-K09561
GTps-k1-91C2	GT-K09562
GTps-k1-9EAB	GT-K09563
GTps-k2-94E6	GT-K09564
GTps-06-8EC5	GT-K09565
GTps-k1-9777	GT-K09566
GTps-k1-E3B4	GT-K09567
GTps-08-8C7D	GT-K09568
GTps-11-8EE4	GT-K09569
GTps-k1-E6E8	GT-K09570
GTps-05-8AB1	GT-K09571
GTps-k2-8CE1	GT-K09572
GTps-k1-8CA9	GT-K09573
GTps-k2-95CE	GT-K09574
GTps-k1-914E	GT-K09575
GTps-k1-E5AA	GT-K09576
GTps-k1-EAA3	GT-K09577
GTps-k2-93D2	GT-K09578
GTps-k1-E677	GT-K09579
GTps-k1-9EA9	GT-K09580
GTps-07-E0DE	GT-K09581
GTps-k1-9EAF	GT-K09582
GTps-k1-E093	GT-K09583
GTps-k1-9A5E	GT-K09584
GTps-k2-8FA5	GT-K09585
GTps-k1-E6BA	GT-K09586
GTps-k1-91BF	GT-K09587
GTps-03-E8E0	GT-K09588
GTps-k1-98B5	GT-K09589
GTps-k1-8E63	GT-K09590
GTps-k1-99B7	GT-K09591
GTps-k2-8969	GT-K09592
GTps-k1-914D	GT-K09593
GTps-k2-8C9F	GT-K09594
GTps-k1-9CA1	GT-K09595
GTps-k2-94D4	GT-K09596
GTps-k1-E576	GT-K09597
GTps-k1-98FB	GT-K09598
GTps-k1-9656	GT-K09599
GTps-k1-91C3	GT-K09600
GTps-k1-929D	GT-K09601
GTps-10-9B91	GT-K09602
GTps-k1-9293	GT-K09603
GTps-k1-9FDE	GT-K09604
GTps-k2-8A78	GT-K09605
GTps-08-8C7A	GT-K09606
GTps-k1-E0DF	GT-K09607
GTps-k1-9BDE	GT-K09608
GTps-k2-92E3	GT-K09609
GTps-k1-94B3	GT-K09610
GTps-05-8ED3	GT-K09611
GTps-k2-89AC	GT-K09612
GTps-k1-E7A4	GT-K09613
GTps-k1-92C6	GT-K09614
GTps-k1-E2CE	GT-K09615
GTps-k2-89B6	GT-K09616
GTps-k1-9780	GT-K09617
GTps-04-E2AE	GT-K09618
GTps-05-9058	GT-K09619
GTps-k2-8EE0	GT-K09620
GTps-k1-E386	GT-K09621
GTps-03-E77B	GT-K09622
GTps-k2-92F3	GT-K09623
GTps-k1-9BD7	GT-K09624
GTps-k1-905C	GT-K09625
GTps-k1-E0E0	GT-K09626
GTps-k1-93A2	GT-K09627
GTps-k1-9A68	GT-K09628
GTps-k1-97BA	GT-K09629
GTps-k1-89F8	GT-K09630
GTps-05-949E	GT-K09631
GTps-k1-9F42	GT-K09632
GTps-k2-925F	GT-K09633
GTps-k1-E78F	GT-K09634
GTps-k1-9AA3	GT-K09635
GTps-k2-95C6	GT-K09636
GTps-k2-95D4	GT-K09637
GTps-05-91E1	GT-K09638
GTps-05-9255	GT-K09639
GTps-k1-9FAA	GT-K09640
GTps-04-9ED0	GT-K09641
GTps-07-E7BA	GT-K09642
GTps-11-91ED	GT-K09643
GTps-k1-E368	GT-K09644
GTps-k1-9E8E	GT-K09645
GTps-k1-9782	GT-K09646
GTps-k2-90BF	GT-K09647
GTps-k1-8946	GT-K09648
GTps-k2-89A6	GT-K09649
GTps-04-8B48	GT-K09650
GTps-03-99CA	GT-K09651
GTps-k1-936D	GT-K09652
GTps-k2-926F	GT-K09653
GTps-04-8AE5	GT-K09654
GTps-06-8B5D	GT-K09655
GTps-k2-9163	GT-K09656
GTps-04-906F	GT-K09657
GTps-09-8DCB	GT-K09658
GTps-k1-E6EA	GT-K09659
GTps-04-E5BF	GT-K09660
GTps-k1-9294	GT-K09661
GTps-03-E576	GT-K09662
GTps-k2-92ED	GT-K09663
GTps-k1-E9FB	GT-K09664
GTps-02-94AA	GT-K09665
GTps-k1-E6BD	GT-K09666
GTps-k1-95A8	GT-K09667
GTps-k1-99B9	GT-K09668
GTps-02-95FA	GT-K09669
GTps-02-E6EB	GT-K09670
GTps-k1-905B	GT-K09671
GTps-02-9EDD	GT-K09672
GTps-k1-E2CD	GT-K09673
GTps-k1-E897	GT-K09674
GTps-k1-9FA9	GT-K09675
GTps-k1-9CE7	GT-K09676
GTps-k1-E588	GT-K09677
GTps-k1-9775	GT-K09678
GTps-k1-9292	GT-K09679
GTps-09-9C79	GT-K09680
GTps-k1-E3B5	GT-K09681
GTps-05-89E8	GT-K09682
GTps-k1-92A0	GT-K09683
GTps-k2-8EF3	GT-K09684
GTps-k2-914B	GT-K09685
GTps-k1-E08B	GT-K09686
GTps-k2-8BB6	GT-K09687
GTps-03-8AE1	GT-K09688
GTps-k2-9349	GT-K09689
GTps-k2-8B49	GT-K09690
GTps-k1-9BD8	GT-K09691
GTps-k1-E8DF	GT-K09692
GTps-k1-936F	GT-K09693
GTps-k2-94EB	GT-K09694
GTps-k1-944A	GT-K09695
GTps-k1-E08C	GT-K09696
GTps-k2-8EE7	GT-K09697
GTps-k2-89F9	GT-K09698
GTps-k1-96B0	GT-K09699
GTps-09-9D97	GT-K09700
GTps-03-92FA	GT-K09701
GTps-k1-94B6	GT-K09702
GTps-k2-92F1	GT-K09703
GTps-03-95AF	GT-K09704
GTps-k1-E4FB	GT-K09705
GTps-k2-8D5C	GT-K09706
GTps-03-96A9	GT-K09707
GTps-03-96C5	GT-K09708
GTps-03-96C3	GT-K09709
GTps-09-8AE5	GT-K09710
GTps-03-96C7	GT-K09711
GTps-k1-E7C7	GT-K09712
GTps-k1-956B	GT-K09713
GTps-03-96D6	GT-K09714
GTps-k1-E783	GT-K09715
GTps-k1-9371	GT-K09716
GTps-05-E3CF	GT-K09717
GTps-k1-94B8	GT-K09718
GTps-k1-9296	GT-K09719
GTps-k1-E445	GT-K09720
GTps-02-9741	GT-K09721
GTps-k1-9657	GT-K09722
GTps-k1-E670	GT-K09723
GTps-06-9588	GT-K09724
GTps-k1-E2C3} \hspace{0.2cm} \small{\textbf{K09725
GTps-k1-96C6	GT-K09726
GTps-k2-89B4	GT-K09727
GTps-k1-9EBD	GT-K09728
GTps-06-9FA9	GT-K09729
GTps-k1-9E68	GT-K09730
GTps-k2-8EE2	GT-K09731
GTps-k2-88F5	GT-K09732
GTps-k1-E389	GT-K09733
GTps-k2-8950	GT-K09734
GTps-k1-95AA	GT-K09735
GTps-k1-9DA4	GT-K09736
GTps-k1-956D	GT-K09737
GTps-k1-E15D	GT-K09738
GTps-k2-88A9	GT-K09739
GTps-k2-8B71	GT-K09740
GTps-08-E0F1	GT-K09741
GTps-k2-95C2	GT-K09742
GTps-k1-E38D	GT-K09743
GTps-k1-944C	GT-K09744
GTps-k2-94F4	GT-K09745
GTps-k1-E4FC	GT-K09746
GTps-k1-98EB	GT-K09747
GTps-k2-93B7	GT-K09748
GTps-k2-8EE1	GT-K09749
GTps-k1-E155	GT-K09750
GTps-09-95F8} \hspace{0.2cm} \small{\textbf{K09751
GTps-k2-8CDE	GT-K09752
GTps-k1-9446	GT-K09753
GTps-07-98E4	GT-K09754
GTps-k1-929E	GT-K09755
GTps-k1-977B	GT-K09756
GTps-k2-88D9	GT-K09757
GTps-k1-E9FA	GT-K09758
GTps-k1-9188	GT-K09759
GTps-k1-9783	GT-K09760
GTps-k1-E34B	GT-K09761
GTps-k1-9EAC	GT-K09762
GTps-k1-96E1	GT-K09763
