JC3-47C6	U+571A
JC3-47C7	U+571B
JC3-47C8	U+5C2D
JC3-47C9	U+585A
JC3-47CA	U+586B
JC3-47CB	U+5835
JC3-47CC	U+5721
JC3-47CD	U+579A
JC3-47CE	U+5725
JC3-47CF	U+5774
JC3-47D0	U+57FF
JC3-47D1	U+57F6
JC3-47D2	U+5723
JC3-47D3	U+574C
JC3-47D4	U+3634
JC3-47D5	U+57A9
JC3-47D6	U+57BD
JC3-47D7	U+57FE
JC3-47D8	U+588D
JC3-47D9	U+588A
JC3-47DA	U+588F
JC3-47DB	U+589C
JC3-47DC	U+FA3A
JC3-47DD	U+58C2
JC3-47DE	U+58E1
JC3-47DF	U+5722
JC3-47E0	U+572F
JC3-47E1	U+572F
JC3-47E2	U+5733
JC3-47E3	U+573F
JC3-47E4	U+5746
JC3-47E5	U-00021274
JC3-47E6	U+5762
JC3-47E7	U+5767
JC3-47E8	U+576A
JC3-47E9	U+576D
JC3-47EA	U+576E
JC3-47EB	U+576F
JC3-47EC	U+5777
JC3-47ED	U+577B
JC3-47EE	U+577C
JC3-47EF	U+577E
JC3-47F0	U+5781
JC3-47F1	U+578C
JC3-47F2	U+5797
JC3-47F3	U+5799
JC3-47F4	U+579D
JC3-47F5	U+57A8
JC3-47F6	U+57C7
JC3-47F7	U+57C8
JC3-47F8	U+57CC
JC3-47F9	U-0002F852
JC3-47FA	U+57CF
JC3-47FB	U+57D5
JC3-47FC	U+57DE
JC3-47FD	U+57E4
JC3-47FE	U+57E6
JC3-48A1	U+57E9
JC3-48A2	U+57ED
JC3-48A3	U+57F0
JC3-48A4	U+57F5
JC3-48A5	U+5808
JC3-48A6	U+5809
JC3-48A7	U+581E
JC3-48A8	U+581F
JC3-48A9	U+5820
JC3-48AA	U+5826
JC3-48AB	U+582D
JC3-48AC	U+583F
JC3-48AD	U+584F
JC3-48AE	U+5855
JC3-48AF	U+5867
JC3-48B0	U+5868
JC3-48B1	U+5878
JC3-48B2	U+587F
JC3-48B3	U+5881
JC3-48B4	U+5883
JC3-48B5	U+5888
JC3-48B6	U+5889
JC3-48B7	U+588C
JC3-48B8	U+5894
JC3-48B9	U+FA39
JC3-48BA	U+589D
JC3-48BB	U+589E
