GTps-k1-8BED	GT-K00534
GTps-01-9E48	GT-K00535
GTps-01-9F65	GT-K00536
GTps-01-9F74	GT-K00537
GTps-01-9F78	GT-K00538
GTps-k1-89D2	GT-K00539
GTps-01-9F83	GT-K00540
GTps-01-E0A9	GT-K00541
GTps-k1-8E7B	GT-K00542
GTps-01-E0AB	GT-K00543
GTps-02-8A40	GT-K00544
GTps-k1-9190	GT-K00545
GTps-02-8EB6	GT-K00546
GTps-01-93E0	GT-K00547
GTps-02-8F47	GT-K00548
GTps-02-8F7B	GT-K00549
GTps-k1-89FC	GT-K00550
GTps-02-93F6	GT-K00551
GTps-02-96B6	GT-K00552
GTps-02-96B7	GT-K00553
GTps-02-96B8	GT-K00554
GTps-k1-98B9	GT-K00555
GTps-k1-E784	GT-K00556
GTps-02-E3D0	GT-K00557
GTps-k2-9283	GT-K00558
GTps-03-91FA	GT-K00559
GTps-05-E9E3	GT-K00560
GTps-05-E9E8	GT-K00561
GTps-k1-9DE0	GT-K00562
GTps-k1-8C86	GT-K00563
GTps-k1-E3D5	GT-K00564
GTps-k1-89A7	GT-K00565
GTps-k1-E26B	GT-K00566
GTps-04-E1AE	GT-K00567
GTps-09-E3A2	GT-K00568
GTps-09-97D8	GT-K00569
GTps-k1-9F55	GT-K00570
GTps-03-93E2	GT-K00571
GTps-k2-92A7	GT-K00572
GTps-k1-8A6F	GT-K00573
GTps-k2-8A8D	GT-K00574
GTps-k1-8B75	GT-K00575
GTps-k1-8BBA	GT-K00576
GTps-02-93B4	GT-K00577
GTps-02-93B3	GT-K00578
GTps-k1-8BB3	GT-K00579
GTps-07-9B4F	GT-K00580
GTps-02-90AE	GT-K00581
GTps-k1-8EB9	GT-K00582
GTps-09-9771	GT-K00583
GTps-k1-89BA	GT-K00584
GTps-k1-8AA2	GT-K00585
GTps-k1-89BD	GT-K00586
GTps-k1-8AF9	GT-K00587
GTps-k1-8DA0	GT-K00588
GTps-k1-8C93	GT-K00589
GTps-k1-8C85	GT-K00590
GTps-k1-8A41	GT-K00591
GTps-02-8F48	GT-K00592
GTps-k2-90F2	GT-K00593
GTps-k1-8AEB	GT-K00594
GTps-k1-8F94	GT-K00595
GTps-09-967A	GT-K00596
GTps-k1-8C9E	GT-K00597
GTps-k1-8C5A	GT-K00598
GTps-k1-E049	GT-K00599
GTps-04-E2E6	GT-K00600
GTps-k1-8C8C	GT-K00601
GTps-k1-8CA4	GT-K00602
GTps-k1-E694	GT-K00603
GTps-k1-8CFC	GT-K00604
GTps-k1-8DA8	GT-K00605
GTps-k1-8D93	GT-K00606
GTps-k1-8C9F	GT-K00607
GTps-03-8FF0	GT-K00608
GTps-k1-88CF	GT-K00609
GTps-k1-8A9D	GT-K00610
GTps-k1-8F96	GT-K00611
GTps-k1-8F95	GT-K00612
GTps-k1-E693	GT-K00613
GTps-k2-9289	GT-K00614
GTps-k1-8FA3	GT-K00615
GTps-k1-8FA7	GT-K00616
GTps-k1-8FC6	GT-K00617
GTps-k1-9077	GT-K00618
GTps-k1-907D	GT-K00619
GTps-k1-9098	GT-K00620
GTps-k1-E475	GT-K00621
GTps-k1-9159	GT-K00622
GTps-k1-918F	GT-K00623
GTps-k1-91D2	GT-K00624
GTps-k1-9194	GT-K00625
GTps-02-9767	GT-K00626
GTps-k2-92A5	GT-K00627
GTps-k1-9198	GT-K00628
GTps-k1-91FA	GT-K00629
GTps-k1-9EC6	GT-K00630
GTps-k1-92D3	GT-K00631
GTps-k1-97AE	GT-K00632
GTps-k1-92EC	GT-K00633
GTps-03-8B6E	GT-K00634
GTps-k1-9AAA	GT-K00635
GTps-k2-9257	GT-K00636
GTps-k2-92B1	GT-K00637
GTps-k2-91DA	GT-K00638
GTps-k1-9578	GT-K00639
GTps-k1-96A8	GT-K00640
GTps-k1-91F3	GT-K00641
GTps-k1-96EB	GT-K00642
GTps-k1-E1CD	GT-K00643
GTps-k1-E8AA	GT-K00644
GTps-k1-E29E	GT-K00645
GTps-02-9088	GT-K00646
GTps-01-95D0	GT-K00647
GTps-k2-89BB	GT-K00648
GTps-k1-E592	GT-K00649
GTps-k1-E276	GT-K00650
GTps-k1-92ED	GT-K00651
GTps-02-96BD	GT-K00652
